placeDcid,placeName,Date:sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR,Value:sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR,Source:sdg/EG_EGY_RNEW.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR
country/ARM,Armenia,2021,65.479,https://unstats.un.org/sdgs/dataportal
country/AZE,Azerbaijan,2021,3.888,https://unstats.un.org/sdgs/dataportal
country/BLM,Saint Barthélemy,2021,2.21,https://unstats.un.org/sdgs/dataportal
country/GEO,Georgia,2021,0.175,https://unstats.un.org/sdgs/dataportal
country/GLP,Guadeloupe,2021,218.293,https://unstats.un.org/sdgs/dataportal
country/GUF,French Guiana,2021,184.707,https://unstats.un.org/sdgs/dataportal
country/KAZ,Kazakhstan,2021,147.656,https://unstats.un.org/sdgs/dataportal
country/MAF,Saint Martin (French part),2021,15.65,https://unstats.un.org/sdgs/dataportal
country/MTQ,Martinique,2021,212.31,https://unstats.un.org/sdgs/dataportal
country/MYT,Mayotte,2021,56.96,https://unstats.un.org/sdgs/dataportal
country/PYF,French Polynesia,2021,146.741,https://unstats.un.org/sdgs/dataportal
country/REU,Réunion,2021,224.96,https://unstats.un.org/sdgs/dataportal
country/TCA,Turks and Caicos Islands,2021,20.836,https://unstats.un.org/sdgs/dataportal
country/TUR,Turkey,2021,92.204,https://unstats.un.org/sdgs/dataportal
