placeDcid,placeName,Date:sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR,Value:sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR,Source:sdg/EG_IFF_RANDN.TYPE_OF_RENEWABLE_TECHNOLOGY--TRT_SOLAR
country/ALB,Albania,2021,10.07,https://unstats.un.org/sdgs/dataportal
country/ARM,Armenia,2021,0.13,https://unstats.un.org/sdgs/dataportal
country/AZE,Azerbaijan,2021,0,https://unstats.un.org/sdgs/dataportal
country/BIH,Bosnia and Herzegovina,2021,0.06,https://unstats.un.org/sdgs/dataportal
country/BLR,Belarus,2021,0,https://unstats.un.org/sdgs/dataportal
country/GEO,Georgia,2021,0.89,https://unstats.un.org/sdgs/dataportal
country/KAZ,Kazakhstan,2021,0,https://unstats.un.org/sdgs/dataportal
country/MDA,Moldova,2021,0.28,https://unstats.un.org/sdgs/dataportal
country/MKD,Macedonia [FYROM],2021,27.94,https://unstats.un.org/sdgs/dataportal
country/MNE,Montenegro,2021,0,https://unstats.un.org/sdgs/dataportal
country/PYF,French Polynesia,2021,0,https://unstats.un.org/sdgs/dataportal
country/SHN,Saint Helena,2021,0,https://unstats.un.org/sdgs/dataportal
country/SRB,Serbia,2021,1.66,https://unstats.un.org/sdgs/dataportal
country/TUR,Turkey,2021,6.21,https://unstats.un.org/sdgs/dataportal
country/UKR,Ukraine,2021,100.24,https://unstats.un.org/sdgs/dataportal
country/WLF,Wallis and Futuna,2021,0,https://unstats.un.org/sdgs/dataportal
