,País,Población (hab),Área país (km²),Desarrollo humano (%),PIB (USD),Precipitación media (mm),Irradiancia global horizontal (kWh/m²/día),Coste construcción (USD/kWh),Capacidad instalada (Wp per cápita),Consumo energía (kWh per cápita),Precio tarifa luz (USD/kWh)
0,Albania,2866376,27400.0,0.784910973404969,5253.63006411357,1485.0,4.1954,0.1051,0.348872583359615,2309.36650255581,8.7
2,Armenia,2951776,28470.0,0.755112683179379,4212.07094272937,562.0,4.2241,0.1038,5.86087833223117,1961.61039526467,7.6
3,Austria,8847037,82523.0,0.9077551793932,51512.9054751534,1110.0,3.2138,0.1094,161.749069208143,8355.84195182134,9.8
4,Azerbaijan,9942334,82670.0,0.756965427408013,4721.17808673142,447.0,4.0422,0.1116,3.66111216943627,2202.39391828846,5.4
5,Belarus,9485386,202988.0,0.807529595527673,6289.93855308212,618.0,2.9377,0.1446,16.2671292449248,3679.9788400689,11.7
6,Belgium,11422068,30280.0,0.916066036844582,46556.0995671479,847.0,2.9436,0.1219,352.440556298562,7709.12307788247,15.8
7,Bulgaria,7024216,108560.0,0.813006248671464,9272.62930360848,608.0,3.8729,0.1147,147.432823819769,4708.92745757231,12.4
8,Croatia,4089400,55960.0,0.831102278842112,14869.0906823045,1113.0,3.737,0.1176,14.916613684159,3714.38298844207,17.6
9,Cyprus,1189265,9240.0,0.868784385398697,28159.3016999455,498.0,5.2104,0.0905,95.0166699600173,3624.97125277167,14.9
10,Czech Republic,10625695,77220.0,0.887561428889983,23078.5734865691,0.0,3.0809,0.1167,195.516622677387,6258.89103703659,12.1
11,Denmark,5797446,41990.0,0.929474111110122,60726.4665351509,703.0,2.7671,0.1252,172.14476857568,5858.80153628748,20.3
12,Estonia,1320884,43470.0,0.871042038946073,22927.7444174193,626.0,2.7161,0.126,8.3277562602015,6732.36747315611,8.5
13,France,66987244,547557.0,0.900802439918752,41463.6440227034,867.0,3.4825,0.0954,141.570236864798,6939.52147366929,13.0
15,Germany,82927922,349360.0,0.936043420154955,48195.5799044116,700.0,2.9777,0.1119,553.854466532997,7035.48297471676,32.2
16,Greece,10727668,128900.0,0.86993406704057,20324.2535641477,652.0,4.4501,0.0861,247.164621425644,5062.60642155232,19.5
17,Hungary,9768785,90530.0,0.837844633948344,15938.8367965554,589.0,3.5222,0.1035,68.0739723517305,3965.95823348335,17.6
18,Ireland,4853506,68890.0,0.938410058995056,78806.431996268,1118.0,2.533,0.1418,5.91325116317977,5672.06413410796,19.7
19,Italy,60431283,294140.0,0.879769445141925,34318.3511241724,832.0,4.0721,0.0673,332.940142938881,5002.40667987736,19.3
20,Kazakhstan,18276499,2699700.0,0.800434604158046,9331.04694986684,250.0,3.8227,0.1163,11.435450520365,5600.20846486508,5.0
22,Latvia,1926542,62180.0,0.847143039132196,18088.9272518674,667.0,2.7733,0.1252,0.622877674091715,3507.40452065472,9.9
24,Lithuania,2789533,62642.0,0.858135144524458,19089.7075056564,656.0,2.8246,0.1241,30.0408706403545,3821.1451704374,8.3
25,Luxembourg,607728,2430.0,0.903938860890113,114340.498741773,934.0,3.0173,0.1202,220.49337861675,13914.6784488756,10.6
26,Malta,483530,320.0,0.878186794658016,30074.7411850959,560.0,5.0071,0.093,263.272185800261,4924.54401944044,17.0
27,Moldova,3545883,32890.0,0.699753399052754,3189.35581212262,450.0,3.5516,0.1232,0.564034402714359,1386.23443895606,8.8
28,Montenegro,622345,13450.0,0.813692301889981,8760.69228579702,0.0,3.8614,0.1116,5.46320770633652,4612.34139045689,13.3
29,Netherlands,17231017,33690.0,0.93063859254565,53024.0592130531,778.0,2.8649,0.1241,240.844751067218,6712.774758245,10.6
30,Norway,5314336,365123.0,0.952522019675818,81807.198038676,1414.0,2.5833,0.1292,12.8708459532856,22999.9345951283,10.0
31,Poland,37978548,306190.0,0.865075040942413,15424.0460254454,600.0,2.977,0.1192,12.8098630837598,3971.79976131055,13.2
32,Portugal,10281762,91606.0,0.847113340712876,23145.7349562595,854.0,4.5656,0.0826,65.1833800471164,4662.60079980294,25.2
33,Romania,19473936,230080.0,0.81119175021268,12301.1864034302,637.0,3.5742,0.1207,70.7150316196993,2584.41178726443,5.9
35,Serbia,6982084,87460.0,0.786693034699728,7233.99587424704,0.0,3.6762,0.1207,1.43223713722149,4271.7446669105,7.3
36,Slovakia,5447011,48080.0,0.85520023672264,19546.9019028513,0.0,3.2518,0.109,97.4846571817094,5137.07383519398,11.6
37,Slovenia,2067372,20142.0,0.896223828558909,26234.0228962506,1162.0,3.4522,0.104,123.73196502613,6727.99930164211,14.6
38,Spain,46723749,499564.0,0.891020216441035,30523.8592390473,636.0,4.5754,0.081,101.526527762145,5355.98700558221,24.8
39,Sweden,10183175,407310.0,0.932804549269391,54111.9721723671,624.0,2.6867,0.1256,41.3427050011416,13480.148224391,10.2
40,Switzerland,8516543,39516.0,0.943997570278117,82838.9294445761,1537.0,3.3567,0.106,263.722028996977,7520.16602494502,12.3
41,Turkey,82319724,769630.0,0.790633980714653,9311.36611728167,0.0,4.5979,0.0824,61.5028787025574,2847.12638262318,10.1
42,Ukraine,44622516,579290.0,0.750709737576033,3095.17358053586,565.0,3.3505,0.1295,44.8809296185809,3418.58502352461,7.1
43,United Kingdom,66488991,241930.0,0.921548922339409,42491.3644350973,1220.0,2.5918,0.1521,197.145419156684,5129.5277927902,17.2
